date,description,amount,category,payment_method
2026-01-01,Salary Credit,55000,Income,Bank
2026-01-02,House Rent,-12000,Bills,Bank
2026-01-03,Swiggy Order,-350,Food,UPI
2026-01-05,Uber Ride,-220,Transport,UPI
2026-01-06,Electricity Bill,-900,Bills,UPI
2026-01-07,Netflix Subscription,-499,Entertainment,Card
2026-01-10,Amazon Purchase,-1800,Shopping,Card
2026-01-12,Petrol Pump,-1500,Transport,Card
2026-01-15,Internet Bill,-799,Bills,UPI
2026-01-18,Restaurant Dinner,-950,Food,Card
2026-01-20,Pharmacy,-450,Health,UPI
2026-01-25,Flipkart Order,-1200,Shopping,UPI

2026-02-01,Salary Credit,55000,Income,Bank
2026-02-02,House Rent,-12000,Bills,Bank
2026-02-03,Zomato Food,-500,Food,UPI
2026-02-05,Metro Travel,-180,Transport,Cash
2026-02-07,Spotify Subscription,-199,Entertainment,Card
2026-02-10,Myntra Shopping,-2200,Shopping,Card
2026-02-12,Petrol Pump,-1400,Transport,Card
2026-02-15,Mobile Recharge,-399,Bills,UPI
2026-02-18,Cafe Coffee,-250,Food,Cash
2026-02-22,Doctor Visit,-700,Health,Cash
2026-02-25,Amazon Order,-1500,Shopping,UPI

2026-03-01,Salary Credit,55000,Income,Bank
2026-03-02,House Rent,-12000,Bills,Bank
2026-03-04,Swiggy Order,-400,Food,UPI
2026-03-06,Uber Ride,-300,Transport,UPI
2026-03-08,Netflix Subscription,-499,Entertainment,Card
2026-03-10,Flipkart Purchase,-1800,Shopping,UPI
2026-03-12,Electricity Bill,-950,Bills,UPI
2026-03-15,Restaurant Dinner,-1000,Food,Card
2026-03-18,Petrol Pump,-1600,Transport,Card
2026-03-20,Pharmacy,-500,Health,UPI
2026-03-25,Amazon Purchase,-2000,Shopping,Card

2026-04-01,Salary Credit,55000,Income,Bank
2026-04-02,House Rent,-12000,Bills,Bank
2026-04-03,Zomato Food,-600,Food,UPI
2026-04-05,Ola Ride,-250,Transport,UPI
2026-04-07,Spotify Subscription,-199,Entertainment,Card
2026-04-10,Myntra Shopping,-2500,Shopping,Card
